月份,總實收租金,總成本,每月損益 (PNL),員工人數,物業數量,,,,,,,
2025 一月,"229,039.00","108,000.00","121,039.00",69,5,,,,,,,
2025 二月,"274,539.00","123,500.00","151,039.00",80,6,,,,,,,
2025 三月,"295,539.00","164,000.00","131,539.00",87,8,,,,,,,
2025 四月,"351,539.00","178,500.00","173,039.00",100,9,,,,,,,
2025 五月,"351,539.00","232,500.00","119,039.00",98,12,,,,,,,
2025 六月,"384,672.00","306,500.00","78,172.00",163,16,,,,,,,
2025 七月,"622,200.00","373,000.00","249,200.00",183,21,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,