property,address,propertyID,gender,capacity,Room,progress,expected_date,remarks ,contractor,cost,repair
宝明2号,铜锣湾 宝明大厦 富明街2-6 4楼E室,,female,12,"Room-A,Room-B,Room-C",,,"欠橱柜,欠衣柜未到集运
（床架已装好，可暂住）",,16000,
陶德,旺角敦道646 陶德大B 14/F No.646,,male,12,"Room-A,Room-B,Room-C",,,"床架已到单位（未安装）
欠衣柜、床上用品未到集运",,24500,
祥兴,油麻地碧街46 祥兴大厦 11/F No.6,,male,10,"Room-A,Room-B,Room-C",,,欠尾部床架、衣柜、床上用品未到集运,,15000,
文苑楼,佐敦文苑街2-24 文苑侵凶 8/F No.14,,female,10,"Room-A,Room-B,Room-C",,6/10/2025,"欠PD门、电制位（预计5.29完成),欠衣柜、床上用品未到集运",,18000,
文华楼,佐敦文汇街2-24 文华呛笞 1/F No.21,,male,12,"Room-A,Room-B,Room-C",,6/20/2025,"水被cut（待政府接驳水表）,欠衣柜、床上用品未到集运",,18000,
文英楼,九龙油麻地文英街13 文英侵凶 10/F No.13,,male,10,"Room-A,Room-B,Room-C",,6/10/2025,"欠电制、换门锁（工程预计一个星期）,已订货，未到集运，可先将其他单位的送过来用",,18000,
新d,旺角敦道607 16 1607室,,male,16,"Room-A,Room-B,Room-C,Room-D",,6/30/2025,,,22000,
唐七,旺角西洋菜南街1667F/8,,female,12,"Room-A,Room-B,Room-C",,,,,20000,
荣华,旺角西洋菜南街14-24sA大 3 22C / No.22,,male,14,"Room-A,Room-B,Room-C",,,,,18000,
通菜街,旺角通菜街72-821F（2牵,,male,16,"Room-A,Room-B,Room-C",,,,,20000,
金轮,旺角敦道737-741C金大B13C,,female,22,"Room-A,Room-B,Room-C,Room-D",,,,,32000,
东海,九龙弥敦道760号 东海大厦 9楼23室,,female,12,"Room-A,Room-B,Room-C",,,,,18000,
利安,旺角皆老街56-62 利安大厦 3/F No.62 (Flat A),,male,12,"Room-A,Room-B",,,,,15500,
宝明,铜锣湾 宝明大厦 富明街2-6 4楼F室,,male,12,"Room-A,Room-B",,,,,16000,
耀基,尖沙咀柯士甸道106 耀基大厦6A,,female,16,"Room-A,Room-B,Room-C,Room-D",,,,,24500,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
